msglen,n2,n4,n8,n16
100000,7455.12,9004.75,5784.27,6892.95
200000,12692.58,13089.45,6927.62,6389.10
300000,14387.46,14418.93,6880.93,5916.96
400000,14745.46,14726.10,6736.49,5761.98
500000,14883.92,14754.57,6807.71,5964.91
600000,14926.24,15052.04,6511.33,6106.76
700000,15037.42,15071.95,6626.84,6305.50
800000,15017.21,15163.66,6463.71,6421.50
900000,15110.56,15263.86,6482.25,6747.29
1000000,15167.83,15363.87,6676.35,6893.03
